,Dataset,Algorithm,Mean Accuracy,Std Dev,Rank,n_components,svd_solver,gamma,kernel,solver,shrinkage,kpca__gamma,kpca__kernel,kpca__n_components,lda__solver
59,s_curve,kLDA,0.859,0.015620499351813323,2,,,,,,,1.0,cosine,,svd
60,circles,PCA,0.702,0.033406586176980106,4,1,randomized,,,,,,,,
61,circles,PCA,1.0,0.0,1,2,randomized,,,,,,,,
62,circles,PCA,1.0,0.0,1,0.95,full,,,,,,,,
63,circles,PCA,1.0,0.0,1,0.99,full,,,,,,,,
64,circles,PCA,0.702,0.033406586176980106,4,mle,full,,,,,,,,
65,circles,kPCA,0.6609999999999999,0.038781438859330615,11,1,,0.1,rbf,,,,,,
66,circles,kPCA,1.0,0.0,1,2,,0.1,rbf,,,,,,
67,circles,kPCA,0.734,0.033970575502926086,10,1,,0.1,poly,,,,,,
68,circles,kPCA,1.0,0.0,1,2,,0.1,poly,,,,,,
69,circles,kPCA,0.471,0.04103656905736637,16,1,,0.1,cosine,,,,,,
70,circles,kPCA,0.48599999999999993,0.026343879744638993,13,2,,0.1,cosine,,,,,,
71,circles,kPCA,0.608,0.034146742157927776,12,1,,1.0,rbf,,,,,,
72,circles,kPCA,0.9959999999999999,0.0020000000000000018,6,2,,1.0,rbf,,,,,,
73,circles,kPCA,0.8320000000000001,0.028913664589601908,9,1,,1.0,poly,,,,,,
74,circles,kPCA,1.0,0.0,1,2,,1.0,poly,,,,,,
75,circles,kPCA,0.471,0.04103656905736637,16,1,,1.0,cosine,,,,,,
76,circles,kPCA,0.48599999999999993,0.026343879744638993,13,2,,1.0,cosine,,,,,,
77,circles,kPCA,0.984,0.011135528725660055,7,1,,10.0,rbf,,,,,,
78,circles,kPCA,1.0,0.0,1,2,,10.0,rbf,,,,,,
79,circles,kPCA,0.8619999999999999,0.02204540768504862,8,1,,10.0,poly,,,,,,
80,circles,kPCA,1.0,0.0,1,2,,10.0,poly,,,,,,
81,circles,kPCA,0.471,0.04103656905736637,16,1,,10.0,cosine,,,,,,
82,circles,kPCA,0.48599999999999993,0.026343879744638993,13,2,,10.0,cosine,,,,,,
83,circles,LDA,0.7130000000000001,0.0248193472919817,1,,,,,svd,,,,,
84,circles,LDA,0.713,0.03075711299845938,2,,,,,eigen,auto,,,,
85,circles,LDA,0.702,0.02158703314492288,3,,,,,eigen,0.5,,,,
86,circles,kLDA,1.0,0.0,1,,,,,,,0.1,rbf,,svd
87,circles,kLDA,0.49000000000000005,0.03563705936241093,3,,,,,,,0.1,cosine,,svd
88,circles,kLDA,0.998,0.0024494897427831805,2,,,,,,,1.0,rbf,,svd
89,circles,kLDA,0.49000000000000005,0.03563705936241093,3,,,,,,,1.0,cosine,,svd
90,moons,PCA,0.844,0.02709243436828812,4,1,randomized,,,,,,,,
91,moons,PCA,1.0,0.0,1,2,randomized,,,,,,,,
92,moons,PCA,1.0,0.0,1,0.95,full,,,,,,,,
93,moons,PCA,1.0,0.0,1,0.99,full,,,,,,,,
94,moons,PCA,0.844,0.02709243436828812,4,mle,full,,,,,,,,
95,moons,kPCA,0.821,0.020591260281973986,12,1,,0.1,rbf,,,,,,
96,moons,kPCA,1.0,0.0,1,2,,0.1,rbf,,,,,,
97,moons,kPCA,0.841,0.0285306852353742,9,1,,0.1,poly,,,,,,
98,moons,kPCA,1.0,0.0,1,2,,0.1,poly,,,,,,
99,moons,kPCA,0.7819999999999999,0.029765752132274427,16,1,,0.1,cosine,,,,,,
100,moons,kPCA,0.819,0.03624913792078371,13,2,,0.1,cosine,,,,,,
101,moons,kPCA,0.8210000000000001,0.021771541057077223,11,1,,1.0,rbf,,,,,,
102,moons,kPCA,0.9550000000000001,0.003162277660168382,6,2,,1.0,rbf,,,,,,
103,moons,kPCA,0.833,0.03544009029333868,10,1,,1.0,poly,,,,,,
104,moons,kPCA,1.0,0.0,1,2,,1.0,poly,,,,,,
105,moons,kPCA,0.7819999999999999,0.029765752132274427,16,1,,1.0,cosine,,,,,,
106,moons,kPCA,0.819,0.03624913792078371,13,2,,1.0,cosine,,,,,,
